# 常用英语单词 10000 个(Google 万亿语料词频排序;音标/释义来自 ECDICT)
# 格式: 序号	单词	音标	中文释义
1	the	ðә	art. 那
2	of	ɒv	prep. 的, 属于
3	and	ænd	conj. 和, 与
4	to	tu:	prep. 到, 向, 趋于；adv. 向前
5	a	ei	第一个字母 A; 一个; 第一的；art.
6	in	in	prep. 在...期间, 在...之内, 处于...之中, 从事于, 按照, 穿着；adv. 进入, 朝里, 在里面, 在屋里；a. 在里面的, 在朝的；n. 执政者, 交情
7	for	fɒ:	prep. 为, 因为, 至于；conj. 因为
8	is	iz	be的现在式第三人称
9	on	ɒn	prep. 在...之上；adv. ...上去；a. 正起作用的
10	that	ðæt	a. 那, 那个；conj. 以致, 因为；pron. 那；adv. 那么, 那样
11	by	bai	prep. 被, 经, 由, 在...之旁；adv. 经过, 在近处
12	this	θis	pron. 这, 本；a. 这, 本；adv. 这么
13	with	wið	prep. 和...在一起, 以, 由于
14	i	ai	pron. 我
15	you	ju:	pron. 你, 你们
16	it	it	pron. 它
17	not	nɒt	adv. 不, 非, 未
18	or	ɒ:	conj. 或, 或者
19	be	bi:	v. 是, 表示, 在
20	are	ɑ:	be的现在时复数或第二人称单数
21	from	frɒm	prep. 从, 来自, 根据
22	at	æt	prep. 在, 向, 对
23	as	æz	adv. 同样地, 例如；prep. 做为, 当作；conj. 当...之时, 以...的方式, 像...一样, 因为
24	your	juә	pron. 你的, 你们的
25	all	ɒ:l	a. 所有的, 全部的, 一切的；adv. 全部, 全然；pron. 全部；n. 全部
26	have	hæv	vt. 有, 怀有, 拿, 进行；aux. 已经
27	new	nju:	a. 新的, 陌生的, 最近的, 不熟悉的；[法] 新发现的, 新的, 重新开始的
28	more	mɒ:	n. 更多；a. 多的, 程度较大的, 更大的；adv. 多, 更多, 进一步
29	an	æn	art. 一
30	was	wɒz	be的过去式
31	we	wi:	pron. 我们
32	will	wil	n. 意志, 决心, 意愿, 意向, 干劲, 遗嘱；vt. 用意志的力量驱使, 决意, 愿意, 立遗嘱；vi. 下决心, 愿意；aux. 将, 愿意, 必须
33	home	hәum	n. 家, 避难所, 故乡；a. 家庭的, 国内的, 打中目标的；adv. 在家, 在本国, 打中目标地
34	can	kæn	vt. 装罐；n. 罐头, 容器；aux. 能, 可以
35	us	ʌs	pron. 我们；[经] 美国
36	about	ә'baut	prep. 在...周围, 大约, 有关, 关于；adv. 大约, 四处, 在附近, 周围
37	if	if	conj. 如果, 是否, 无论何时, 假设, 即使；n. 条件
38	page	peidʒ	n. 页, 记录, 事件, 专栏, 男侍；vt. 标明...的页数, 翻...的书页, 分页排版, 呼叫, 侍候；vi. 翻书页, 侍侯； 页面
39	my	mai	pron. 我的；[医] 迈尔(热容单位)
40	has	hæz	have的第三人称单数现在式
41	search	sә:tʃ	n. 搜寻, 查究；v. 搜寻, 搜查, 探求, 调查, 搜索
42	free	fri:	a. 自由的, 享受政治权力的, 允许的, 免费的, 丰富的；vt. 释放, 解放, 使自由；adv. 自由地, 免费
43	but	bʌt	prep. 除了；conj. 但是；adv. 仅仅
44	our	'auә	pron. 我们的
45	one	wʌn	n. 一(个)；pron. 一, 任何人；num. 一, 一个；a. 一致的, 完整的
46	other	'ʌðә	a. 其他的, 另外的, 从前的；pron. 其他的, 他人, 另外一个
47	do	du:	v. 做, 进行, 完成
48	no	nәu	n. 不, 拒绝, 否决票；a. 没有, 不是, 绝非；adv. 不
49	information	.infә'meiʃәn	n. 消息, 知识, 通知, 情报, 信息, 问讯处, 起诉
50	time	taim	n. 时间, 时侯, 时机, 时期, 期限, 次数, 节拍, 暂停, 规定时间；vt. 测定...的时间, 记录...的时间, 计时, 定时；a. 时间的, 记时的, 定时的, 定期的, 分期的
51	they	ðei	pron. 他们, 它们
